filename,volume_ml,height_cm,brand,appearace,colorcap,colorbottle,condition,label,cap ,Unnamed: 10
IMG_20251028_141204_jpg.rf.c0c13a024bf490b06ec43df004ee0e38.jpg,1500,27,Coca-Cola,perfect,red,transparent,imperfect,nolabel,withcap,
IMG_20251028_145229_jpg.rf.615e5805a763b74fa8848378fec5d29e.jpg,1500,27,Sprite,imperfect,green,transparent,imperfect,withlabel,nocap,
IMG_20251028_145545_jpg.rf.c54f728109a6d97802214b3b8db9d72a.jpg,237,16,Royal,perfect,royal-blue,transparent,perfect,nolabel,withcap,
IMG_20251028_145655_jpg.rf.b8370506f36b7958296149ae1bd1039b.jpg,237,16,Royal,imperfect,royal-blue,transparent,imperfect,nolabel,nocap,
IMG_20251028_145655_jpg.rf.b8370506f36b7958296149ae1bd1039b.jpg,237,16,Royal,perfect,royal-blue,transparent,imperfect,nolabel,withcap,
IMG_20251028_145750_jpg.rf.8b95714db5aa3b95373aad3f96339093.jpg,290,17,Royal,imperfect,royal-blue,transparent,perfect,withlabel,nocap,
IMG_20251028_150229_jpg.rf.cbc7d55b40d28c93be77a2f881f0219b.jpg,296,17,7-UP,imperfect,white,transparent,perfect,withlabel,nocap,
IMG_20251028_150547_jpg.rf.aa6249ddd5160935f7b1861872e4cfe1.jpg,290,17,Mountain-Dew,imperfect,black,green,perfect,withlabel,nocap,
IMG_20251028_150902_jpg.rf.a58890690039bbb9b2f0ad654094091d.jpg,290,17,Sting,perfect,black,transparent,perfect,withlabel,withcap,
IMG_20251028_151051_jpg.rf.ea598a9c79cb1b2964fccdfb02cffd64.jpg,350,19,Cobra,imperfect,black,transparent,perfect,withlabel,nocap,
IMG_20251028_152115_jpg.rf.33852b86014121ffcfbf5cbcd3961d08.jpg,350,19,Cobra,imperfect,black,transparent,imperfect,nolabel,nocap,
IMG_20251028_152718_jpg.rf.3731924c361a8fcea33521a13e159e4f.jpg,900,25,Pocari-Sweat,imperfect,white,transparent,perfect,withlabel,nocap,
IMG_20251028_152902_jpg.rf.d502338957bf252769749cf72a34eb5c.jpg,900,25,Pocari-Sweat,perfect,white,transparent,imperfect,nolabel,withcap,
IMG_20251028_153501_jpg.rf.2bbdd290125b112ca94b7cc903e88f45.jpg,350,18,Nature-Spring,imperfect,white,transparent,imperfect,withlabel,nocap,
IMG_20251028_153621_jpg.rf.65a8e4adf98c0185a2e300adbe90917f.jpg,500,20,Summit,imperfect,blue,transparent,perfect,nolabel,nocap,
IMG_20251028_140447_jpg.rf.60294a45ddcdabb2ace86cfafa21c83b.jpg,1500,27,Coca-Cola,perfect,red,transparent,perfect,withlabel,withcap,
IMG_20251028_140836_jpg.rf.57ce8ae34ca7c97da653ed4ee830f34b.jpg,1500,27,Coca-Cola,perfect,red,transparent,perfect,nolabel,withcap,
IMG_20251028_141030_jpg.rf.763a9b085b207030105efdf3da0f18e7.jpg,1500,27,Coca-Cola,imperfect,red,transparent,perfect,withlabel,nocap,
IMG_20251028_141055_jpg.rf.3a069bb2edc3d713c38607b26192b293.jpg,1500,27,Coca-Cola,imperfect,red,transparent,perfect,nolabel,nocap,
IMG_20251028_141148_jpg.rf.5c3b05ef3449e11d8a45bd648e73ac4e.jpg,1500,27,Coca-Cola,imperfect,red,transparent,imperfect,nolabel,nocap,
IMG_20251028_141238_jpg.rf.08db637103d7ee9ecf4172b243c67da8.jpg,1500,27,Coca-Cola,perfect,red,transparent ,imperfect,withlabel,withcap,
IMG_20251028_141954_jpg.rf.64f02b413eb95af70aa6dd3fcfc0a894.jpg,190,15,Coca-Cola,imperfect,red,transparent,perfect,withlabel,nocap,
IMG_20251028_142030_jpg.rf.cc75dc13cbb6e237771d364d903ab435.jpg,190,15,Coca-Cola,perfect,red,transparent,perfect,nolabel,withcap,
IMG_20251028_142114_jpg.rf.33fa1d5df5edc889b02bbac884b5e584.jpg,190,15,Coca-Cola,perfect,red,transparent,imperfect,nolabel,withcap,
IMG_20251028_142141_jpg.rf.d99936be1436f0b33b69cd6a51611a9e.jpg,190,15,Coca-Cola,imperfect,red,transparent,imperfect,nolabel,nocap,
IMG_20251028_142227_jpg.rf.1a814315d75f59c9e42bc634b6c4bc6e.jpg,190,15,Coca-Cola,imperfect,red,transparent,imperfect,withlabel,nocap,
IMG_20251028_142445_jpg.rf.21484facd2e10f7bf4ef74d8471d03cc.jpg,500,20,Coca-Cola,perfect,red,transparent,perfect,withlabel,withcap,
IMG_20251028_142611_jpg.rf.a9e787b69a0e00c832fdd184d4a4dca8.jpg,500,20,Coca-Cola,imperfect,red,transparent,perfect,nolabel,nocap,
IMG_20251028_142637_jpg.rf.f4804c3582216ed507522d4f49664250.jpg,500,20,Coca-Cola,perfect,red,transparent,imperfect,nolabel,withcap,
IMG_20251028_142739_jpg.rf.fc2edd47fd5f440bad06774fa7207a8b.jpg,500,20,Coca-Cola,perfect,red,transparent,imperfect,withlabel,withcap,
IMG_20251028_142751_jpg.rf.ef71bbd32910961159293aa37e338e73.jpg,500,20,Coca-Cola,imperfect,red,transparent,imperfect,withlabel,nocap,
IMG_20251028_142936_jpg.rf.95f38c57ebca6594356e72a6a81c2710.jpg,390,18,Coca-Cola,imperfect,red,transparent,perfect,withlabel,nocap,
IMG_20251028_143053_jpg.rf.72a482917188e24710b1b368ea2c0a41.jpg,390,18,Coca-Cola,perfect,red,transparent,perfect,nolabel,withcap,
IMG_20251028_143110_jpg.rf.e59bc48bf9e6fe06fe5ce99ff62903c3.jpg,390,18,Coca-Cola,imperfect,red,transparent,perfect,nolabel,nocap,
IMG_20251028_143223_jpg.rf.28d4173740dbc96a04c305fc1d4d6e39.jpg,390,18,Coca-Cola,perfect,red,transparent,imperfect,withlabel,withcap,
IMG_20251028_143239_jpg.rf.cf44335d3a166c91697a511f41a56246.jpg,390,18,Coca-Cola,imperfect,red,transparent,imperfect,withlabel,nocap,
IMG_20251028_143302_jpg.rf.0c6c4aa04477e1ba55b51ba09656744e.jpg,390,18,Coca-Cola,imperfect,red,transparent,imperfect,nolabel,nocap,
IMG_20251028_144353_jpg.rf.a05cf104ce5cf4520f8f1c51afc3b344.jpg,190,15,Sprite,perfect,green,transparent,perfect,withlabel,withcap,
IMG_20251028_144405_jpg.rf.9821e64371db444853994506ea72f3e2.jpg,190,15,Sprite,imperfect,green,transparent,perfect,withlabel,nocap,
IMG_20251028_144446_jpg.rf.7e74d2c3674055f73911a193cac142a9.jpg,190,15,Sprite,imperfect,green,transparent,perfect,nolabel,nocap,
IMG_20251028_144521_jpg.rf.d6aaf72de4ee63faae55dcd527d61672.jpg,190,15,Sprite,perfect,green,transparent,imperfect,nolabel,withcap,
IMG_20251028_144531_jpg.rf.1ecd198fbc6c948e93d32587bf164156.jpg,190,15,Sprite,imperfect,green,transparent,imperfect,nolabel,nocap,
IMG_20251028_144733_jpg.rf.86e872309aad0aa14d0544f7fc0ab791.jpg,190,15,Sprite,perfect,green,transparent,imperfect,withlabel,withcap,
IMG_20251028_144743_jpg.rf.da87d0a3c613bb3dc2ad19e9d3ec0dad.jpg,190,15,Sprite,imperfect,green,transparent,imperfect,withlabel,nocap,
IMG_20251028_144901_jpg.rf.6da76c65fb04f7577dd139dd4cee0169.jpg,390,18,Sprite,perfect,green,transparent,perfect,withlabel,withcap,
